Year,Quarter,Month,Day,Sum of QuantityLost,Sum of QuantityRecovered,net loss,First TypeOfProductID_DisplayEng,First PipelineOperatorID_DisplayEng
1980,Qtr 1,January,3,,,0,LVP,Trans Mountain Pipeline ULC
1981,Qtr 3,August,20,,,0,LVP,Trans Mountain Pipeline ULC
1981,Qtr 3,September,11,,,0,LVP,Trans Mountain Pipeline ULC
1982,Qtr 2,April,22,,,0,LVP,Trans Mountain Pipeline ULC
1982,Qtr 4,October,28,,,0,LVP,Trans Mountain Pipeline ULC
1983,Qtr 1,March,29,,,0,LVP,Trans Mountain Pipeline ULC
1983,Qtr 2,April,30,,,0,LVP,Trans Mountain Pipeline ULC
1983,Qtr 4,November,27,,,0,LVP,Trans Mountain Pipeline ULC
1984,Qtr 1,March,29,,,0,LVP,Trans Mountain Pipeline ULC
1984,Qtr 2,June,21,,,0,LVP,Trans Mountain Pipeline ULC
